Country Name,Country Code,1961_R,1970_R,1980_R,1990_R,2000_R,2010_R,2015_R,2020_R
Aruba,ABW,,,,3.961401727,7.616588194,-3.685029387,5.700000876,
Africa Eastern and Southern,AFE,,,,0.116166259,3.143733609,5.21651143,3.025974666,-2.929510951
Afghanistan,AFG,,,,,,14.36244147,1.45131466,-1.934778249
Africa Western and Central,AFW,1.869754337,17.93155053,1.938513669,6.577794123,3.53480536,6.70119384,2.832692845,-0.934727636
Angola,AGO,,,,-3.450098684,3.054624234,4.403932543,0.943571561,-4.04051
Albania,ALB,,,,-9.575640169,6.950036134,3.706892301,2.218752232,-3.311239444
Andorra,AND,,,2.208727607,3.78138759,3.528362361,-1.974958,1.434140395,-11.95605842
Arab World,ARB,,,9.127124717,12.73587913,6.70493959,4.775505264,3.058921026,-4.380114778
United Arab Emirates,ARE,,,23.87477491,18.32798553,10.85270421,1.602809961,5.105936984,
Argentina,ARG,5.42784288,3.045643319,1.518783949,-2.467213776,-0.788998939,10.12539816,2.731159828,-9.905234856
Armenia,ARM,,,,,5.900000003,2.2,3.199999999,-7.6
American Samoa,ASM,,,,,,0.299850075,3.149606299,
Antigua and Barbuda,ATG,,,8.161430797,3.011714686,6.203431254,-7.840594744,3.825293099,-15.97350964
Australia,AUS,2.485769492,7.172186576,3.034245871,3.570998147,3.933136945,2.067417128,2.192647426,-0.284839298
Austria,AUT,5.537979317,6.321142632,1.731485595,4.345641399,3.375722147,1.837093677,1.014501586,-6.259034819
Azerbaijan,AZE,,,,,11.0999995,4.789242792,1.049546368,-4.309989133
Burundi,BDI,-13.74613505,21.32567073,0.991055725,3.49982214,-0.856864058,5.124163303,-3.900003086,0.297577119
Belgium,BEL,4.978423063,5.582858284,4.444053876,3.137402316,3.716679384,2.864292708,2.041459009,-6.283929951
Benin,BEN,3.141280459,2.097757578,6.781763872,8.976134361,5.857714205,2.114064726,1.77815106,3.8487924
Burkina Faso,BFA,4.043927977,0.117019611,0.796878872,-0.60292848,1.888473889,8.446281577,3.921228794,2.022384695
Bangladesh,BGD,6.058160825,5.619852293,0.819141869,5.622258162,5.293294718,5.571788188,6.552639879,2.375521656
Bulgaria,BGR,,,,-9.117377097,4.782043523,0.55944649,3.989851714,-4.15370283
Bahrain,BHR,,,,4.437997176,5.300070056,4.334299173,2.485378558,-5.814683428
"Bahamas, The",BHS,10.66709743,-5.649649519,6.495281921,-1.596249086,4.149234046,1.538385972,0.230478124,-16.27773826
Bosnia and Herzegovina,BIH,,,,,5.500000276,0.86566926,3.089164152,-4.327345806
Belarus,BLR,,,,,5.80000344,7.798266823,-3.829570558,-0.9
Belize,BLZ,4.892277219,4.807693364,13.43668176,11.44338873,13.01958111,3.003529489,2.63368999,-14.03842116
Bermuda,BMU,4.68,6.312292359,7.943925234,0.019212296,9.317156411,-2.502878289,0.7755297,
Bolivia,BOL,2.089295936,5.231029301,-1.371775125,4.63578591,2.507807553,4.126721926,4.85718718,-7.82328995
Brazil,BRA,10.27591155,8.769947472,9.110960155,-3.102355949,4.387949443,7.52822583,-3.545763393,-4.059048273
Barbados,BRB,,,4.373064814,-3.307593308,4.447189623,-2.28645384,2.448701961,-17.6053641
Brunei Darussalam,BRN,,,-6.996702984,1.089420535,2.849421858,2.598965746,-0.39238375,1.203001939
Bhutan,BTN,,,,10.38311791,3.355068285,11.945896,6.642232105,-6.772101611
Botswana,BWA,6.343283719,17.12026767,11.98690138,6.772821949,1.987695854,8.563630792,-1.697935427,-7.893053589
Central African Republic,CAF,4.953553798,2.332880877,-4.478638848,-2.147528066,-2.48943244,4.630818432,4.33712103,0
Canada,CAN,3.163291684,,,,4.917762744,3.08949462,0.659176864,-5.312944743
Central Europe and the Baltics,CEB,,,,,3.960732311,1.633947382,3.953670249,-3.939278867
Switzerland,CHE,,,,3.674625697,3.976409234,3.268101656,1.657768711,-2.392826042
Channel Islands,CHI,,,,,5.826641469,,,
Chile,CHL,5.245271886,1.828966971,7.986620757,3.333565473,5.326938419,5.844177296,2.303767036,-5.771501669
China,CHN,-27.27,19.3,7.834145016,3.920251368,8.490093406,10.63587106,7.041328879,2.3
Cote d'Ivoire,CIV,9.932555156,10.37503184,-10.95769727,-1.095908411,-2.068400057,2.017638592,8.84285995,1.816441461
Cameroon,CMR,1.183680812,3.092068236,-1.965291669,-6.105697646,3.553374364,3.422507641,5.651463744,0.730339198
"Congo, Dem. Rep.",COD,-10.85137608,-0.245056575,2.194912924,-6.568310695,-6.910927317,7.107976576,6.91618781,0.773457032
"Congo, Rep.",COG,8.350726724,6.358470188,17.63660548,1.000003567,7.575980395,9.931265431,-3.550581765,-7.948712902
Colombia,COL,5.089216984,6.207796963,4.087353673,4.281998332,2.924861483,4.494658971,2.955901375,-6.847314206
