Country.Name,Continent,X1970,X1980,X1990,X2000,X2010,X2015,X2019,X2022.Population,X2020.Population,X2015.Population,X2010.Population,X2000.Population,X1990.Population,X1980.Population,X1970.Population,Area..km...,Density..per.km...,Growth.Rate,World.Population.Percentage
Aruba,North America,NA,NA,764887117.2,1873452514,2390502793,2919553073,NA,106445,106585,104257,100341,89101,65712,62267,59106,180,591.3611,0.9991,0
Afghanistan,Asia,1748886596,3641723322,NA,NA,15856574731,19907111419,19291104008,41128771,38972230,33753499,28189672,19542982,10694796,12486631,10752971,652230,63.0587,1.0257,0.52
Angola,Africa,NA,5930503401,11228764963,9129594819,83799496611,1.16E+11,88815697793,35588987,33428485,28127721,23364185,16394062,11828638,8330047,6029700,1246700,28.5466,1.0315,0.45
Albania,Europe,NA,NA,2028553750,3480355189,11926928506,11386846319,15279183290,2842321,2866849,2882481,2913399,3182021,3295066,2941651,2324731,28748,98.8702,0.9957,0.04
Andorra,Europe,78619206.09,446416105.8,1029048482,1429049198,3449966857,2789870188,3154057987,79824,77700,71746,71519,66097,53569,35611,19860,468,170.5641,1.01,0
United Arab Emirates,Asia,NA,43598748449,50701443748,1.04E+11,2.90E+11,3.58E+11,4.21E+11,9441129,9287289,8916899,8481771,3275333,1900151,1014048,298084,83600,112.9322,1.0081,0.12
Argentina,South America,31584210366,76961923742,1.41E+11,2.84E+11,4.24E+11,5.95E+11,4.45E+11,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400,16.3683,1.0052,0.57
Armenia,Asia,NA,NA,2256838858,1911563665,9260284938,10553337673,13672802158,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,29743,93.4831,0.9962,0.03
American Samoa,Oceania,NA,NA,NA,NA,5.76E+08,6.61E+08,NA,44273,46189,51368,54849,58230,47818,32886,27075,199,222.4774,0.9831,0
Antigua and Barbuda,North America,NA,131431026.7,459470370.4,826370370.4,1148700000,1336692593,1661962963,93763,92664,89941,85695,75055,63328,64888,64516,442,212.1335,1.0058,0
Australia,Oceania,41271138985,1.50E+11,3.11E+11,4.15E+11,1.15E+12,1.35E+12,1.40E+12,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4032,1.0099,0.33
Austria,Europe,15373005557,82058912997,1.66E+11,1.97E+11,3.92E+11,3.82E+11,4.45E+11,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,83871,106.5877,1.002,0.11
Azerbaijan,Asia,NA,NA,8858006036,5272617196,52902703376,53074370486,48047647059,10358074,10284951,9863480,9237202,8190337,7427836,6383060,5425317,86600,119.6082,1.0044,0.13
Burundi,Africa,242732571.4,919726666.7,1132101253,870486065.9,2032135247,3104394858,3012334882,12889576,12220227,10727148,9126605,6307659,5483793,4312834,3497834,27834,463.0874,1.027,0.16
Belgium,Europe,26706196047,1.27E+11,2.05E+11,2.36E+11,4.81E+11,4.62E+11,5.33E+11,11655930,11561717,11248303,10877947,10264343,9959560,9828986,9629376,30528,381.8111,1.0038,0.15
Benin,Africa,333627758.2,1405251547,1959965244,3511248900,9535344283,11388160958,14390709095,13352864,12643123,10932783,9445710,6998023,5133419,3833939,3023443,112622,118.5635,1.0274,0.17
Burkina Faso,Africa,458404330.1,1928720390,3101301781,2956746304,10109618964,11832159276,15990803570,22673762,21522626,18718019,16116845,11882888,9131361,6932967,5611666,272967,83.0641,1.0259,0.28
Bangladesh,Asia,8992721809,18138049096,31598341234,53369787319,1.15E+11,1.95E+11,3.03E+11,171186372,167420951,157830000,148391139,129193327,107147651,83929765,67541860,147570,1160.035,1.0108,2.15
Bulgaria,Europe,NA,19839230769,20632090909,13245833844,50381825504,50647442757,68558815112,6781953,6979175,7309253,7592273,8097691,8767778,8980606,8582950,110879,61.1654,0.9849,0.09
Bahrain,Asia,NA,3072698328,4229787234,9062898936,25713271277,31050638298,38574069149,1472233,1477469,1362142,1213645,711442,517418,362595,222555,765,1924.4876,1.0061,0.02
"Bahamas, The",North America,538423153.7,1335300000,3.17E+09,8076470000,10095760000,11710800000,13578800000,409984,406471,392697,373272,325014,270679,223752,179129,13943,29.4043,1.0051,0.01
Bosnia and Herzegovina,Europe,NA,NA,NA,5505887894,17176781337,16211541820,20164193807,3233526,3318407,3524324,3811088,4179350,4494310,4199820,3815561,51209,63.1437,0.9886,0.04
Belarus,Europe,NA,NA,2.17E+10,12736856828,57222490769,56454734397,63080457023,9534954,9633740,9700609,9731427,10256483,10428525,9817257,9170786,207600,45.9295,0.9955,0.12
